Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Hillsdale,Bergen,70,0.24015922956815927,3626,302,175,0.2862190812720848,0.5724381625441696,10520,2.9016426582,0.08431558935361216,0.01634980988593156,0.005513307984790874,0,0.026806083650190115,0,0.8670152091254753,0.08897338403041825,0.9110266159695818,124844,Hillsdale Bergen
Delaware Twp.,Hunterdon,71,0.051061698971644254,123,509,506,0.01060070671378092,0,4496,36.6554297538,0.0026690391459074734,4.4483985765124553e-4,0.01579181494661922,0,0.0071174377224199285,0,0.9739768683274022,0.06561387900355872,0.9343861209964412,124151,Delaware township Hunterdon
Old Tappan,Bergen,72,0.40551999540068917,1809,168,298,0.5618374558303887,0.36395759717314485,5999,3.3152962986,0.22153692282047008,0.007167861310218369,0.03183863977329555,0,0.001666944490748458,0,0.7377896316052676,0.045840973495582596,0.9541590265044174,141185,Old Tappan Bergen
Madison,Morris,74,0.2706892542882601,3728,271,170,0.33568904593639576,0.5901060070671378,16080,4.3133617098,0.06728855721393034,0.04116915422885572,0.02941542288557214,3.109452736318408e-4,0.012064676616915423,0,0.8497512437810946,0.09639303482587065,0.9036069651741293,127948,Madison Morris
Woolwich,Gloucester,76,0.3591092711123043,578,205,414,0.48056537102473496,0.11307420494699646,12172,21.0705642576,0.06375287545185672,0.09940847847518895,0.017909957279000986,0,0.026207689779822543,0.0015609595793624712,0.7911600394347683,0.060630956293131776,0.9393690437068682,123347,Woolwich township Gloucester
Ramsey,Bergen,79,0.1972249154967073,2748,347,227,0.19434628975265017,0.48056537102473496,15121,5.5028219103,0.10184511606375239,0.0012565306527346075,0.00515838899543681,0,0.0015871966139805569,0,0.8901527676740957,0.05588254745056544,0.9441174525494346,137768,Ramsey Bergen
Denville,Morris,80,0.23187588971934814,1405,315,334,0.2508833922261484,0.2968197879858657,16822,11.9744826201,0.08274878135774581,0.021638330757341576,0.015039828795624778,0,0.008500772797527048,0,0.8720722862917608,0.06604446558078707,0.933955534419213,116078,Denville township Morris
Park Ridge,Bergen,81,0.167017892086315,3416,375,189,0.14840989399293286,0.5477031802120141,8905,2.607082335,0.020437956204379562,0.019202695115103873,0.025379000561482314,0.0011229646266142617,0.02223469960696238,0,0.9116226838854576,0.17495788882650196,0.825042111173498,106875,Park Ridge Bergen
Randolph,Morris,82,0.3147769770261033,1240,235,348,0.4169611307420495,0.26148409893992935,25918,20.9039362389,0.10591094991897523,0.02843583609846439,0.02693109036191064,0,0.017555366926460376,0.0013118296164827533,0.8198549270777066,0.10031638243691643,0.8996836175630836,128125,Randolph township Morris
Kinnelon,Morris,83,0.14885650865535205,569,401,416,0.10954063604240283,0.10600706713780919,10242,18.011287008,0.05555555555555555,0.0036125756688146844,0.017769966803358718,0,0.0023432923257176333,0,0.9207186096465534,0.12321812146065221,0.8767818785393477,147267,Kinnelon Morris
River Vale,Bergen,84,0.19575671449988763,2471,348,248,0.19081272084805653,0.4381625441696113,10055,4.0689098307,0.07896568871208354,0.0015912481352560915,0.01929388363998011,0.0025857782197911488,0.0044753853804077575,0,0.8930880159124813,0.04455494778717056,0.9554450522128295,138914,River Vale township Bergen
Helmetta,Middlesex,86,0.23996698744264255,2802,303,222,0.2826855123674912,0.4876325088339223,2321,0.8283142296,0.052132701421800945,0.04997845756139595,0.014648858250753986,0.0025850926324859974,0.012063765618267988,0,0.8685911245152951,0.1128823782852219,0.8871176217147781,79702,Helmetta Middlesex
Cresskill,Bergen,87,0.44386379470333515,4280,142,137,0.6325088339222615,0.6466431095406361,8811,2.0587608756,0.27431619566451027,0.00397230734309386,0.01974804221995233,0,0.008852570650323459,0,0.6931108841221201,0.07615480649188515,0.9238451935081149,136250,Cresskill Bergen
Emerson,Bergen,88,0.246065051216513,3437,299,186,0.2862190812720848,0.5512367491166078,7668,2.2308993135,0.08933229003651538,0.010824204486176317,0.023604590505998956,0,0.013041210224308816,0,0.8631977047470005,0.13132498695878977,0.8686750130412102,111536,Emerson Bergen
Alpine,Bergen,89,0.5541112475328958,231,71,470,0.8091872791519434,0.014134275618374558,1481,6.400947267,0.2862930452397029,0.08980418636056718,0.01350438892640108,0,0.014179608372721135,0,0.5962187711006077,0.06414584740040513,0.9358541525995948,118977,Alpine Bergen
New Hanover,Burlington,90,0.5897662599161138,343,45,442,0.8798586572438163,0.05653710247349823,7665,22.3339182066,0.0228310502283105,0.3085453359425962,0.05714285714285714,0.006131767775603392,0.04970645792563601,0,0.5556425309849967,0.22870189171559036,0.7712981082844097,83646,New Hanover township Burlington
Holland,Hunterdon,91,0.008424126503707052,222,531,472,0,0.014134275618374558,5201,23.4688587705,0,0.004229955777735051,0,0,0,0,0.9957700442222649,0.025956546817919632,0.9740434531820804,94766,Holland township Hunterdon
Glen Gardner,Hunterdon,92,0.15003678676264176,1025,399,367,0.11307420494699646,0.21554770318021202,1587,1.5479664057,0.010081915563957152,0.04473850031505986,0.017013232514177693,0,0.007561436672967864,0,0.9206049149338374,0.08380592312539382,0.9161940768746062,67625,Glen Gardner Hunterdon
